julday,date_time,V_ugal,vert_mm,areal_mm,WDD_tam,potential,dilation_ppb,wl_ft
2456444.6875,6/1/2013 4:30,20.866730009977164,-35.30650717688137,-160.50688723674435,199.4630231631737,6645.478189484083,7.962381654290415,4429.06
2456444.7291666665,6/1/2013 5:30,-1.5415619871175714,2.6083228822029305,11.857694804908359,-23.19239106202284,-491.49147793017926,-0.5888878187533068,4429.06
2456444.7708333335,6/1/2013 6:30,-20.667258301491007,34.96900104612278,158.97255085506882,-213.230964094463,-6582.9648700815,-7.8874799231854835,4429.04
2456444.8125,6/1/2013 7:30,-32.83003984440157,55.54842741672745,252.52866648313687,-334.08395739348083,-10456.772072986261,-12.528941330805276,4429.01
2456444.8541666665,6/1/2013 8:30,-36.153448301241056,61.171634525699865,278.0923243331462,-367.10632637604573,-11515.267086884092,-13.79719333712113,4429.01
2456444.8958333335,6/1/2013 9:30,-30.96056197224757,52.38527085704289,238.14864269052833,-315.5082725504212,-9861.349321926291,-11.815526445781739,4429.03
2456444.9375,6/1/2013 10:30,-19.56431645023907,33.1028234338045,150.48872213523893,-202.27180777908455,-6231.681401518729,-7.466584257225051,4429.04
2456444.9791666665,6/1/2013 11:30,-5.541900645432745,9.376895892072204,42.628299764668675,-62.940938658765674,-1765.5866060854905,-2.1154644027750753,4429.05
2456445.0208333335,6/1/2013 12:30,7.26857174496179,-12.298423392475348,-55.909853862246095,64.34770238864418,2314.5080699097803,2.773163498961164,4429.06
2456445.0625,6/1/2013 13:30,15.755273668108677,-26.65792304643988,-121.18956505509193,148.67408176414642,5017.495616204629,6.011789409924681,4429.07
2456445.1041666665,6/1/2013 14:30,18.25251874227886,-30.883261711935827,-140.398374165609,173.48744712386608,5812.860222697753,6.964767690117966,4429.07
2456445.1458333335,6/1/2013 15:30,14.848539268074012,-25.12372844158123,-114.2149640500253,139.66450069218752,4728.703596255608,5.6657688298563595,4429.07
2456445.1875,6/1/2013 16:30,7.257385688576544,-12.279496585071513,-55.82381071653078,64.23655442527749,2310.945346560324,2.7688947674352056,4429.06
2456445.2291666665,6/1/2013 17:30,-1.672216857117233,2.8293909222423577,12.862692064945756,-24.49061647804676,-533.1046381035844,-0.6387472637068738,4429.06
2456445.2708333335,6/1/2013 18:30,-8.680700221326955,14.687744774485205,66.77194610244693,-94.12897922121488,-2765.2842790787786,-3.313267474906886,4429.05
2456445.3125,6/1/2013 19:30,-10.900164043948024,18.443077562360056,83.8440618260482,-116.18222794037665,-3472.176441231235,-4.160241141412355,4429.04
2456445.3541666665,6/1/2013 20:30,-6.579520383054848,11.132548488128801,50.60967078645789,-73.2510351408377,-2096.0651894009625,-2.5114323769565043,4429.04
2456445.3958333335,6/1/2013 21:30,4.4116896605150995,-7.464578905591547,-33.934716868682145,35.960877369249914,1404.6002204976617,1.6829434786230735,4429.04
2456445.4375,6/1/2013 22:30,20.417358605955148,-34.54617076127611,-157.050322397007,194.99793603754839,6502.354827814022,7.790896207306304,4429.06
2456445.4791666665,6/1/2013 23:30,38.23429368889975,-64.69242492161837,-294.0981870550168,372.0322705433107,12176.991934013413,14.59004953401854,4429.08
2456445.5208333335,6/2/2013 0:30,53.75006741869825,-90.94511407243743,-413.44551858462694,526.2015855129929,17118.716474660778,20.511052449523287,4429.09
2456445.5625,6/2/2013 1:30,62.87757577515976,-106.38885821157031,-483.6543128625289,616.8952070623448,20025.798830048767,23.994217680665418,4429.09
2456445.6041666665,6/2/2013 2:30,62.58931747235432,-105.90112516322348,-481.4370299973494,614.0309873429962,19933.989478235184,23.88421490020133,4429.09
2456445.6458333335,6/2/2013 3:30,51.789935765211446,-87.62857131473777,-398.36818590600643,506.7251378971011,16494.42078282993,19.76304300847434,4429.08
